Unix time,BSSID,Signal strength(-dBm),SSID,Longitude,Latitude,GPS Accuracy,AP Capabilities, Channel, Frequency
1564570212000,00:13:49:f9:15:1f,-91,U Marus,14.47257608,48.9794259,11,[WEP][ESS],,62437
1564503451000,00:13:d3:7f:8e:6f,-89,Barry,14.44074558,48.98337473,3,[WEP][ESS],,112462
1564504545000,00:13:f7:a4:41:1a,-85,Sonya,14.42625356,48.98885518,3,[WPA2-PSK-CCMP+TKIP][WPS][ESS],,32422
1564503600000,00:14:78:f7:18:e6,-87,P_C_Maj,14.43800067,48.98368316,3,[WPA-PSK-CCMP][WPA2-PSK-CCMP-preauth][ESS],,62437
1564570191000,00:15:6d:72:bf:5a,-72,www.jbendynet.cz-750,14.47399613,48.9784752,9,[WPA2-PSK-CCMP][ESS],,22417
1564570191000,00:15:6d:72:bf:68,-76,www.jbendynet.cz,14.47399613,48.9784752,9,[WEP][ESS],,82447
1564570020000,00:15:6d:8a:0f:0f,-85,DUM,14.47890334,48.9739867,6,[ESS],,-5300
1565374456000,00:15:6d:a7:5b:df,-83,STARNET-Frei p,14.32005809,48.81088487,5,[WEP][ESS],,132472
1564570551000,00:15:6d:b5:fc:20,-88,BezdrevNet_KD-N-3,14.47733073,49.00549411,10,[ESS],,-5280
1564232276000,00:15:6d:b6:b5:0a,-82,KAP,14.31727663,48.8076027,4,[ESS],,-5180
1564570275000,00:15:6d:c1:62:bc,-85,KLOKAN,14.4722516,48.98677095,10,[ESS],,-5220
1565374421000,00:15:6d:dc:25:ae,-85,Landauer,14.31983263,48.81042357,3,[WPA2-PSK-CCMP][ESS],,12412
1564503547000,00:15:6d:dc:25:f3,-72,jbendynet-1,14.43864896,48.98326717,3,[ESS],,72442
1564570142000,00:15:6d:e8:6d:d8,-89,JD.spoj,14.47581738,48.97778826,11,[ESS],,-5560
1564502744000,00:15:6d:f2:62:a5,-83,www.jbendynet.cz_7,14.44265505,48.98225642,5,[WPA2-PSK-TKIP][ESS],,102457
1564503572000,00:15:6d:f6:5e:bb,-84,www.jbendynet.cz-28,14.43848266,48.98358487,4,[WPA2-PSK-CCMP][ESS],,-5680
1564503441000,00:15:6d:fa:8b:82,-84,jbendy28-2,14.44078443,48.98339101,4,[WEP][ESS],,42427
1564503347000,00:15:6d:fa:8f:18,-70,www.jbendynet.cz,14.4416532,48.98259429,5,[ESS],,102457
1564503568000,00:15:6d:fa:90:35,-71,www.jbendynet.cz_8,14.43851277,48.98352932,4,[ESS],,52432
